county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
San Francisco,2020-04-01,67.0,66.0,,,30.0,8.0,64.0
San Francisco,2020-04-02,75.0,60.0,,,32.0,11.0,58.0
San Francisco,2020-04-03,80.0,71.0,,,39.0,8.0,74.0
San Francisco,2020-04-04,80.0,65.0,,,37.0,7.0,79.0
San Francisco,2020-04-05,79.0,68.0,,,37.0,11.0,74.0
San Francisco,2020-04-06,80.0,71.0,,,34.0,9.0,71.0
San Francisco,2020-04-07,88.0,116.0,,,36.0,9.0,57.0
San Francisco,2020-04-08,90.0,116.0,,,36.0,17.0,55.0
San Francisco,2020-04-09,88.0,64.0,,,33.0,13.0,45.0
San Francisco,2020-04-10,85.0,46.0,,,32.0,12.0,125.0
San Francisco,2020-04-11,82.0,51.0,,,28.0,13.0,132.0
San Francisco,2020-04-12,92.0,44.0,,,30.0,7.0,71.0
San Francisco,2020-04-13,89.0,48.0,,,30.0,9.0,61.0
San Francisco,2020-04-14,87.0,53.0,,,28.0,5.0,69.0
San Francisco,2020-04-15,87.0,84.0,,,25.0,7.0,76.0
San Francisco,2020-04-16,84.0,35.0,,,31.0,9.0,64.0
San Francisco,2020-04-17,79.0,36.0,,,28.0,8.0,66.0
San Francisco,2020-04-18,74.0,29.0,,,27.0,7.0,75.0
San Francisco,2020-04-19,73.0,34.0,,,27.0,10.0,76.0
San Francisco,2020-04-20,79.0,27.0,,,27.0,7.0,73.0
San Francisco,2020-04-21,76.0,45.0,121.0,738.0,25.0,9.0,79.0
San Francisco,2020-04-22,75.0,17.0,92.0,738.0,28.0,3.0,74.0
San Francisco,2020-04-23,75.0,29.0,104.0,1173.0,31.0,6.0,70.0
San Francisco,2020-04-24,75.0,19.0,94.0,1173.0,30.0,5.0,108.0
San Francisco,2020-04-25,73.0,18.0,91.0,1412.0,29.0,3.0,132.0
San Francisco,2020-04-26,79.0,21.0,100.0,1412.0,31.0,3.0,126.0
San Francisco,2020-04-27,82.0,19.0,101.0,1412.0,29.0,3.0,149.0
San Francisco,2020-04-28,81.0,23.0,104.0,1412.0,27.0,9.0,132.0
San Francisco,2020-04-29,80.0,24.0,104.0,1862.0,26.0,6.0,107.0
San Francisco,2020-04-30,85.0,11.0,96.0,1887.0,32.0,1.0,100.0
San Francisco,2020-05-01,86.0,14.0,100.0,1887.0,32.0,0.0,101.0
San Francisco,2020-05-02,81.0,27.0,108.0,1915.0,29.0,7.0,101.0
San Francisco,2020-05-03,83.0,18.0,101.0,1915.0,30.0,4.0,107.0
San Francisco,2020-05-04,84.0,10.0,94.0,1887.0,26.0,0.0,118.0
San Francisco,2020-05-05,79.0,24.0,103.0,2619.0,27.0,6.0,101.0
San Francisco,2020-05-06,76.0,12.0,88.0,2619.0,26.0,4.0,113.0
San Francisco,2020-05-07,72.0,21.0,93.0,2619.0,30.0,1.0,78.0
San Francisco,2020-05-08,71.0,32.0,103.0,2619.0,28.0,7.0,92.0
San Francisco,2020-05-09,68.0,29.0,97.0,2619.0,28.0,4.0,97.0
San Francisco,2020-05-10,66.0,25.0,91.0,2619.0,25.0,9.0,102.0
San Francisco,2020-05-11,63.0,28.0,91.0,2619.0,23.0,11.0,107.0
San Francisco,2020-05-12,63.0,27.0,90.0,2619.0,23.0,4.0,100.0
San Francisco,2020-05-13,57.0,32.0,89.0,2619.0,24.0,7.0,108.0
San Francisco,2020-05-14,56.0,38.0,94.0,2619.0,20.0,10.0,111.0
San Francisco,2020-05-15,56.0,33.0,89.0,2619.0,19.0,4.0,85.0
San Francisco,2020-05-16,44.0,30.0,74.0,2619.0,20.0,4.0,106.0
San Francisco,2020-05-17,40.0,31.0,71.0,2619.0,18.0,5.0,101.0
San Francisco,2020-05-18,46.0,33.0,79.0,2619.0,22.0,9.0,115.0
San Francisco,2020-05-19,48.0,26.0,74.0,2619.0,18.0,2.0,114.0
San Francisco,2020-05-20,47.0,32.0,79.0,2619.0,20.0,7.0,113.0
San Francisco,2020-05-21,43.0,37.0,80.0,2619.0,16.0,11.0,103.0
San Francisco,2020-05-22,43.0,29.0,72.0,2619.0,18.0,11.0,84.0
San Francisco,2020-05-23,45.0,28.0,73.0,2619.0,18.0,9.0,83.0
San Francisco,2020-05-24,47.0,41.0,88.0,2619.0,20.0,10.0,97.0
San Francisco,2020-05-25,40.0,41.0,81.0,2619.0,21.0,11.0,100.0
San Francisco,2020-05-26,40.0,47.0,87.0,2619.0,20.0,14.0,95.0
San Francisco,2020-05-27,40.0,42.0,82.0,2619.0,18.0,9.0,98.0
San Francisco,2020-05-28,49.0,42.0,91.0,2619.0,20.0,9.0,83.0
San Francisco,2020-05-29,49.0,16.0,65.0,2619.0,19.0,6.0,88.0
San Francisco,2020-05-30,47.0,17.0,64.0,2619.0,19.0,6.0,78.0
San Francisco,2020-05-31,50.0,19.0,69.0,2619.0,22.0,4.0,91.0
San Francisco,2020-06-01,45.0,29.0,74.0,2619.0,18.0,2.0,85.0
San Francisco,2020-06-02,43.0,28.0,71.0,2647.0,18.0,8.0,76.0
San Francisco,2020-06-03,37.0,34.0,71.0,2647.0,17.0,4.0,80.0
San Francisco,2020-06-04,41.0,21.0,62.0,2647.0,15.0,4.0,87.0
San Francisco,2020-06-05,42.0,22.0,64.0,2658.0,14.0,4.0,98.0
San Francisco,2020-06-06,41.0,24.0,65.0,2658.0,15.0,4.0,98.0
San Francisco,2020-06-07,34.0,14.0,48.0,2337.0,13.0,1.0,88.0
San Francisco,2020-06-08,32.0,11.0,43.0,2647.0,13.0,2.0,106.0
San Francisco,2020-06-09,37.0,12.0,49.0,2647.0,13.0,0.0,100.0
San Francisco,2020-06-10,39.0,11.0,50.0,2647.0,14.0,0.0,95.0
San Francisco,2020-06-11,38.0,13.0,51.0,2647.0,14.0,1.0,86.0
San Francisco,2020-06-12,41.0,11.0,52.0,2647.0,15.0,1.0,91.0
San Francisco,2020-06-13,41.0,9.0,50.0,2647.0,14.0,0.0,94.0
San Francisco,2020-06-14,40.0,9.0,49.0,2647.0,13.0,2.0,96.0
San Francisco,2020-06-15,37.0,8.0,45.0,2647.0,10.0,0.0,94.0
San Francisco,2020-06-16,34.0,8.0,42.0,2647.0,8.0,0.0,91.0
San Francisco,2020-06-17,35.0,9.0,44.0,2647.0,8.0,3.0,86.0
San Francisco,2020-06-18,33.0,12.0,45.0,2647.0,8.0,2.0,155.0
San Francisco,2020-06-19,30.0,9.0,39.0,2647.0,8.0,4.0,151.0
San Francisco,2020-06-20,32.0,24.0,56.0,2647.0,10.0,5.0,140.0
San Francisco,2020-06-21,37.0,7.0,44.0,2647.0,12.0,1.0,149.0
San Francisco,2020-06-22,40.0,7.0,47.0,2337.0,12.0,2.0,140.0
San Francisco,2020-06-23,45.0,8.0,53.0,2647.0,16.0,2.0,145.0
San Francisco,2020-06-24,46.0,9.0,55.0,2647.0,17.0,3.0,105.0
San Francisco,2020-06-25,44.0,10.0,54.0,2647.0,13.0,4.0,104.0
San Francisco,2020-06-26,54.0,14.0,68.0,2647.0,18.0,4.0,89.0
San Francisco,2020-06-27,56.0,16.0,72.0,2647.0,21.0,4.0,103.0
San Francisco,2020-06-28,59.0,10.0,69.0,2647.0,22.0,3.0,103.0
San Francisco,2020-06-29,63.0,16.0,79.0,2647.0,22.0,4.0,120.0
San Francisco,2020-06-30,68.0,12.0,80.0,2647.0,28.0,5.0,113.0
San Francisco,2020-07-01,71.0,14.0,85.0,2647.0,31.0,2.0,110.0
San Francisco,2020-07-02,66.0,16.0,82.0,2647.0,30.0,1.0,102.0
San Francisco,2020-07-03,70.0,15.0,85.0,2647.0,27.0,2.0,107.0
San Francisco,2020-07-04,68.0,14.0,82.0,2647.0,26.0,1.0,102.0
San Francisco,2020-07-05,73.0,11.0,84.0,2647.0,25.0,1.0,122.0
San Francisco,2020-07-06,68.0,12.0,80.0,2647.0,27.0,1.0,120.0
San Francisco,2020-07-07,72.0,16.0,88.0,2647.0,25.0,1.0,107.0
San Francisco,2020-07-08,73.0,15.0,88.0,2647.0,25.0,3.0,110.0
San Francisco,2020-07-09,76.0,18.0,94.0,2647.0,28.0,1.0,109.0
San Francisco,2020-07-10,76.0,21.0,97.0,2647.0,33.0,1.0,104.0
San Francisco,2020-07-11,79.0,18.0,97.0,2647.0,34.0,1.0,112.0
San Francisco,2020-07-12,80.0,14.0,94.0,2647.0,34.0,2.0,122.0
San Francisco,2020-07-13,89.0,20.0,109.0,2647.0,32.0,1.0,126.0
San Francisco,2020-07-14,90.0,15.0,105.0,2647.0,31.0,0.0,110.0
San Francisco,2020-07-15,95.0,13.0,108.0,2647.0,32.0,0.0,114.0
San Francisco,2020-07-16,90.0,17.0,107.0,2647.0,27.0,0.0,117.0
San Francisco,2020-07-17,89.0,16.0,105.0,2647.0,26.0,1.0,112.0
San Francisco,2020-07-18,91.0,16.0,107.0,2647.0,29.0,2.0,107.0
San Francisco,2020-07-19,96.0,13.0,109.0,2647.0,31.0,2.0,113.0
San Francisco,2020-07-20,95.0,10.0,105.0,2647.0,28.0,1.0,120.0
San Francisco,2020-07-21,96.0,25.0,121.0,2505.0,28.0,1.0,115.0
San Francisco,2020-07-22,96.0,17.0,113.0,2071.0,30.0,1.0,56.0
San Francisco,2020-07-23,97.0,17.0,114.0,2272.0,28.0,0.0,100.0
San Francisco,2020-07-24,95.0,15.0,110.0,2077.0,26.0,3.0,77.0
San Francisco,2020-07-25,93.0,25.0,118.0,1987.0,26.0,5.0,79.0
San Francisco,2020-07-26,99.0,18.0,117.0,2000.0,30.0,6.0,89.0
San Francisco,2020-07-27,101.0,17.0,118.0,1989.0,34.0,1.0,95.0
San Francisco,2020-07-28,107.0,16.0,123.0,1921.0,37.0,2.0,27.0
San Francisco,2020-07-29,109.0,14.0,123.0,1991.0,39.0,2.0,44.0
San Francisco,2020-07-30,101.0,18.0,119.0,2025.0,38.0,1.0,53.0
San Francisco,2020-07-31,102.0,19.0,121.0,2002.0,36.0,1.0,51.0
San Francisco,2020-08-01,105.0,14.0,119.0,2005.0,39.0,1.0,52.0
San Francisco,2020-08-02,98.0,11.0,109.0,1992.0,35.0,3.0,51.0
San Francisco,2020-08-03,89.0,15.0,104.0,1709.0,34.0,2.0,123.0
San Francisco,2020-08-04,92.0,12.0,104.0,1772.0,33.0,1.0,69.0
San Francisco,2020-08-05,80.0,14.0,94.0,1848.0,30.0,0.0,76.0
San Francisco,2020-08-06,85.0,9.0,94.0,1820.0,31.0,1.0,60.0
San Francisco,2020-08-07,79.0,11.0,90.0,1832.0,30.0,0.0,54.0
San Francisco,2020-08-08,77.0,11.0,88.0,1800.0,29.0,2.0,63.0
San Francisco,2020-08-09,82.0,16.0,98.0,1740.0,31.0,2.0,70.0
San Francisco,2020-08-10,84.0,12.0,96.0,1747.0,28.0,4.0,76.0
San Francisco,2020-08-11,88.0,14.0,102.0,1745.0,31.0,6.0,63.0
San Francisco,2020-08-12,92.0,21.0,113.0,1804.0,31.0,4.0,53.0
San Francisco,2020-08-13,97.0,13.0,110.0,1777.0,33.0,1.0,59.0
San Francisco,2020-08-14,94.0,13.0,107.0,1820.0,34.0,1.0,62.0
San Francisco,2020-08-15,94.0,24.0,118.0,1782.0,40.0,5.0,51.0
San Francisco,2020-08-16,85.0,23.0,108.0,1740.0,34.0,4.0,62.0
San Francisco,2020-08-17,83.0,26.0,109.0,1740.0,35.0,4.0,71.0
San Francisco,2020-08-18,96.0,36.0,132.0,1766.0,37.0,5.0,51.0
San Francisco,2020-08-19,95.0,38.0,133.0,1864.0,39.0,6.0,47.0
San Francisco,2020-08-20,106.0,19.0,125.0,1867.0,41.0,3.0,53.0
San Francisco,2020-08-21,98.0,20.0,118.0,1856.0,34.0,3.0,59.0
San Francisco,2020-08-22,90.0,19.0,109.0,1837.0,34.0,2.0,58.0
San Francisco,2020-08-23,92.0,17.0,109.0,1823.0,37.0,4.0,69.0
San Francisco,2020-08-24,95.0,22.0,117.0,1806.0,35.0,3.0,75.0
San Francisco,2020-08-25,89.0,19.0,108.0,1837.0,34.0,5.0,72.0
San Francisco,2020-08-26,87.0,12.0,99.0,1868.0,37.0,7.0,54.0
San Francisco,2020-08-27,79.0,12.0,91.0,1848.0,36.0,5.0,53.0
San Francisco,2020-08-28,74.0,18.0,92.0,1868.0,27.0,4.0,58.0
San Francisco,2020-08-29,74.0,11.0,85.0,1839.0,26.0,3.0,52.0
San Francisco,2020-08-30,70.0,10.0,80.0,1788.0,28.0,3.0,77.0
San Francisco,2020-08-31,74.0,12.0,86.0,1809.0,26.0,3.0,79.0
San Francisco,2020-09-01,77.0,16.0,93.0,1873.0,24.0,3.0,68.0
San Francisco,2020-09-02,70.0,12.0,82.0,1854.0,21.0,4.0,61.0
San Francisco,2020-09-03,63.0,11.0,74.0,1848.0,21.0,4.0,58.0
San Francisco,2020-09-04,58.0,7.0,65.0,1860.0,23.0,0.0,56.0
San Francisco,2020-09-05,51.0,6.0,57.0,1808.0,22.0,0.0,64.0
San Francisco,2020-09-06,57.0,17.0,74.0,1772.0,24.0,2.0,69.0
San Francisco,2020-09-07,63.0,15.0,78.0,1742.0,26.0,1.0,63.0
San Francisco,2020-09-08,64.0,18.0,82.0,1781.0,25.0,4.0,73.0
San Francisco,2020-09-09,66.0,18.0,84.0,1825.0,25.0,4.0,58.0
San Francisco,2020-09-10,67.0,22.0,89.0,1839.0,24.0,8.0,58.0
San Francisco,2020-09-11,74.0,18.0,92.0,1831.0,22.0,4.0,67.0
San Francisco,2020-09-12,72.0,15.0,87.0,1820.0,20.0,6.0,68.0
San Francisco,2020-09-13,76.0,18.0,94.0,1816.0,21.0,5.0,79.0
San Francisco,2020-09-14,78.0,12.0,90.0,1817.0,21.0,5.0,86.0
San Francisco,2020-09-15,68.0,13.0,81.0,1880.0,22.0,3.0,80.0
San Francisco,2020-09-16,64.0,14.0,78.0,1881.0,20.0,8.0,68.0
San Francisco,2020-09-17,67.0,19.0,86.0,1806.0,23.0,7.0,61.0
San Francisco,2020-09-18,64.0,12.0,76.0,1872.0,20.0,4.0,62.0
San Francisco,2020-09-19,58.0,9.0,67.0,1874.0,18.0,2.0,61.0
San Francisco,2020-09-20,65.0,8.0,73.0,1859.0,21.0,2.0,62.0
San Francisco,2020-09-21,68.0,2.0,70.0,1837.0,18.0,0.0,75.0
San Francisco,2020-09-22,72.0,8.0,80.0,1857.0,19.0,3.0,68.0
San Francisco,2020-09-23,65.0,9.0,74.0,1891.0,18.0,5.0,64.0
San Francisco,2020-09-24,60.0,9.0,69.0,1898.0,16.0,5.0,49.0
San Francisco,2020-09-25,61.0,11.0,72.0,1870.0,20.0,5.0,56.0
San Francisco,2020-09-26,56.0,8.0,64.0,1859.0,18.0,3.0,63.0
San Francisco,2020-09-27,54.0,6.0,60.0,1813.0,18.0,0.0,81.0
San Francisco,2020-09-28,60.0,5.0,65.0,1828.0,17.0,1.0,88.0
San Francisco,2020-09-29,61.0,5.0,66.0,1866.0,16.0,1.0,73.0
San Francisco,2020-09-30,64.0,10.0,74.0,1881.0,15.0,2.0,75.0
San Francisco,2020-10-01,59.0,9.0,68.0,1864.0,14.0,2.0,76.0
San Francisco,2020-10-02,55.0,10.0,65.0,1846.0,16.0,5.0,71.0
San Francisco,2020-10-03,50.0,7.0,57.0,1840.0,17.0,1.0,88.0
